Format, Traqmate Trackvision, V2
Track, Portland
Vehicle, CORRADO
Driver, DJ
Starting Date, 18/08/2019
Starting Time, 16:45:16.000
Sample Rate (samps/sec), 40
Duration (secs),   2449.500
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap
0,79204000,2067,888.025000,45.594312,-122.692065,-729.602417,529.514425,6,-10.000000,-41.000000,16.000000,0.000000,100.324461,157.944873,-0.103943,0.108303,5720,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.050000,45.594316,-122.692079,-728.216988,526.106726,6,-10.000000,-41.000000,16.000000,0.000000,100.381458,157.944873,-0.141577,0.160650,5727,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.075000,45.594320,-122.692092,-726.828895,522.697854,6,-10.000000,-41.000000,16.000000,0.000000,100.459092,157.944873,-0.096774,0.166065,5720,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.100000,45.594324,-122.692106,-725.442328,519.285288,6,-10.000000,-41.000000,16.000000,0.000000,100.512158,157.944873,-0.109319,0.092058,5727,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.125000,45.594327,-122.692119,-724.063650,515.867430,6,-10.000000,-41.000000,16.000000,0.000000,100.572104,157.944873,-0.073477,0.203971,5746,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.150000,45.594331,-122.692132,-722.677526,512.450212,6,-10.000000,-41.000000,16.000000,0.000000,100.612395,157.944873,-0.082437,0.122744,5752,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.175000,45.594335,-122.692146,-721.300714,509.027639,6,-10.000000,-41.000000,16.000000,0.000000,100.657600,157.944873,-0.118280,0.066787,5746,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.200000,45.594339,-122.692159,-719.929756,505.600932,6,-10.000000,-41.000000,16.000000,0.000000,100.722458,157.944873,-0.094982,0.142599,5752,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79204000,2067,888.225000,45.594343,-122.692172,-718.553505,502.173785,6,-10.000000,-41.000000,16.000000,0.000000,100.774542,157.944873,-0.094982,0.142599,5759,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79204250,2067,888.250000,45.594347,-122.692187,-717.069914,498.535882,6,-10.000000,-41.000000,16.000000,0.000000,101.165445,158.309028,-0.121864,0.063177,5759,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
